episode;steps;reward;average;epsilon
353;233;279.21321193808956;214.63654316532137;0.01
354;194;275.5085082923184;214.6619292642645;0.01
355;174;275.10417922068666;220.60343637111356;0.01
356;311;297.36327267682987;220.8791000686715;0.01
357;355;271.30935996517525;225.91963687660197;0.01
358;324;274.0717136850116;225.50289689884175;0.01
359;243;256.0940212438797;225.52574078728892;0.01
360;514;209.42753988972947;223.8833927641672;0.01
361;294;237.73051888717663;223.46726654116395;0.01
362;170;6.236415609126254;219.05125019330654;0.01
363;203;310.19221281190573;220.08344931649114;0.01
364;763;158.8143067133974;219.02355008442228;0.01
365;167;42.91879710717802;214.9978781065178;0.01
366;226;309.604161184829;220.67170818225506;0.01
367;174;-49.46755241015154;214.7243147008247;0.01
368;343;258.3305806452197;215.22853123117554;0.01
369;252;-17.978842591349007;210.5387246072313;0.01
370;257;258.0890978534824;210.83800483810973;0.01
371;216;25.85637055111698;207.6302634832224;0.01
372;266;286.762817524484;207.72748363976837;0.01
373;366;273.0376109164333;208.31889544430985;0.01
374;280;287.85735318929596;210.4313489755351;0.01
375;464;228.13952731951;209.3746385924871;0.01
376;232;289.5030787501778;210.26854569833125;0.01
377;275;275.6252045948253;210.15875305163644;0.01
378;849;213.52044949025833;209.1127090103185;0.01
379;233;231.27283160644475;207.94416160744476;0.01
380;597;-78.62588980170082;200.54843228477253;0.01
381;317;258.8013244158175;201.52324786240143;0.01
382;320;293.56217611935466;215.30410619821322;0.01
383;529;180.31109017226828;214.08805981158434;0.01
384;249;219.1446236817979;222.71229980317887;0.01
385;272;280.4043547177291;223.232651914776;0.01
386;528;230.01003791661734;222.44787893671088;0.01
387;148;-48.04915037971293;216.17315017620015;0.01
388;263;243.17702546637884;215.07078722455364;0.01
389;362;296.63875830910365;215.44952361849212;0.01
390;213;258.36654003711305;215.57141377012715;0.01
391;232;288.6738937170084;215.5677879243429;0.01
392;263;236.16112285195695;215.23402119848262;0.01
393;231;299.2691818562381;215.28517180435415;0.01
394;247;265.88076556158774;215.9868460503886;0.01
395;336;285.2965998633269;216.1462709744059;0.01
396;248;223.29732987074885;215.14020063209216;0.01
397;190;292.5526744232652;216.34838510712697;0.01
398;178;44.784179905710744;212.363707747479;0.01
399;216;221.2364839352228;211.2726364270464;0.01
400;98;-1.4805309288139625;205.91257585778337;0.01
401;246;250.28307585448374;206.04170571279366;0.01
402;277;233.56043589779108;210.7478570025675;0.01
403;255;264.5169035265983;210.4539308343377;0.01
404;339;244.29588403169674;209.82967834912523;0.01
405;267;258.39435869593405;209.4954819386302;0.01
406;339;277.61532328869833;209.10052295086757;0.01
407;262;253.8553274584579;208.7514423007332;0.01
408;283;243.250915881862;208.13502634467022;0.01
409;264;298.8148883915934;208.9894436876245;0.01
410;190;237.01246188615065;209.54114212755292;0.01
411;226;251.55410019053096;209.81761375361998;0.01
412;221;267.51485907441844;215.04318262292585;0.01
413;88;-169.75669291191372;205.44420450844945;0.01
414;250;292.1403476304588;208.11072532679066;0.01
415;208;275.39082923030185;212.76016596925317;0.01
416;271;253.73700033669502;211.6428227522905;0.01
417;264;264.4058043240127;217.92028988697376;0.01
